Level,Hierarchical structure,Code,Parent,Class title,Class definition
4,Subclass (Field),RDF5050205,RDF50502,Access to justice,This subclass comprises research and experimental development in access to justice.
4,Subclass (Field),RDF5050299,RDF50502,"Legal practice, n.e.c.","This subclass comprises research and experimental development in legal practice, n.e.c."
3,Class,RDF50503,RDF505,International law,This class comprises research and experimental development in international law.
4,Subclass (Field),RDF5050301,RDF50503,Public international law (except international trade law),This subclass comprises research and experimental development in public international law (except international trade law).
4,Subclass (Field),RDF5050302,RDF50503,International trade law,This subclass comprises research and experimental development in international trade law.
4,Subclass (Field),RDF5050303,RDF50503,Private international law,This subclass comprises research and experimental development in private international law.
4,Subclass (Field),RDF5050399,RDF50503,"International law, n.e.c.","This subclass comprises research and experimental development in international law, n.e.c."
2,Group,RDF506,RDF50,Political science and policy administration,This group comprises research and experimental development in political science and policy administration.
3,Class,RDF50601,RDF506,Political science,This class comprises research and experimental development in political science.
4,Subclass (Field),RDF5060101,RDF50601,Canadian politics and government,This subclass comprises research and experimental development in Canadian politics and government.
4,Subclass (Field),RDF5060102,RDF50601,Indigenous politics,This subclass comprises research and experimental development in indigenous politics.
4,Subclass (Field),RDF5060103,RDF50601,Political theory,This subclass comprises research and experimental development in political theory.
4,Subclass (Field),RDF5060104,RDF50601,Comparative politics,This subclass comprises research and experimental development in comparative politics.
4,Subclass (Field),RDF5060105,RDF50601,International relations,This subclass comprises research and experimental development in international relations.
4,Subclass (Field),RDF5060106,RDF50601,Political methodology,This subclass comprises research and experimental development in political methodology.
4,Subclass (Field),RDF5060107,RDF50601,Political areas studies,This subclass comprises research and experimental development in political areas studies.
4,Subclass (Field),RDF5060108,RDF50601,Specialized politics,This subclass comprises research and experimental development in specialized politics.
4,Subclass (Field),RDF5060109,RDF50601,Political behaviour and election studies,This subclass comprises research and experimental development in political behaviour and election studies.
4,Subclass (Field),RDF5060110,RDF50601,Social movements and democracy,This subclass comprises research and experimental development in social movements and democracy.
4,Subclass (Field),RDF5060111,RDF50601,Politics of outer space,This subclass comprises research and experimental development in politics of outer space.
4,Subclass (Field),RDF5060199,RDF50601,"Political science, n.e.c.","This subclass comprises research and experimental development in political science, n.e.c."
3,Class,RDF50602,RDF506,Policy and policy administration,This class comprises research and experimental development in policy and policy administration.
4,Subclass (Field),RDF5060201,RDF50602,Indigenous policy and policy administration,This subclass comprises research and experimental development in indigenous policy and policy administration.
4,Subclass (Field),RDF5060202,RDF50602,Studies related to the Truth and Reconciliation Commission of Canada,This subclass comprises research and experimental development in studies related to the Truth and Reconciliation Commission of Canada.
