Journal title,Journal ISSN (print version),Journal EISSN (online version),Deposit policy directory,URL for deposit policy
Textures,1253-5044,2971-4109,Mir@bel,https://reseau-mirabel.info/revue/titre-id/15304
Revue francophone sur la santé et les territoires,,2492-3672,Mir@bel,https://reseau-mirabel.info/revue/titre-id/4891
Populations vulnérables,2269-0182,2650-7684,Mir@bel,https://reseau-mirabel.info/revue/titre-id/6155
Territoires contemporains,,1961-9944,Mir@bel,https://reseau-mirabel.info/revue/titre-id/2459
Transversales,,2273-1806,Mir@bel,https://reseau-mirabel.info/revue/titre-id/4764
Peer Community Journal,,2804-3871,Mir@bel,https://reseau-mirabel.info/revue/titre-id/16359
TheoretiCS,,2751-4838,Mir@bel,https://reseau-mirabel.info/revue/titre-id/15330
Management & Organisations du Sport,,2804-8598,Mir@bel,https://reseau-mirabel.info/revue/titre-id/15332
Mémoires de l'Institut de préhistoire et d'archéologie Alpes Méditerranée,1286-4374,,Mir@bel,https://reseau-mirabel.info/revue/titre-id/15650
Carnets Botaniques,,2727-6287,Mir@bel,https://reseau-mirabel.info/revue/titre-id/15933
"Afriques. Débats, méthodes et terrains d'histoire",,2108-6796,Mir@bel,https://reseau-mirabel.info/revue/titre-id/1086
Algebraic combinatorics,,2589-5486,Mir@bel,https://reseau-mirabel.info/revue/titre-id/8346
Annales de la Faculté des sciences de Toulouse,0240-2963,2258-7519,Mir@bel,https://reseau-mirabel.info/revue/titre-id/5493
Journal de théorie des nombres de Bordeaux,1246-7405,2118-8572,Mir@bel,https://reseau-mirabel.info/revue/titre-id/6047
Open Geomechanics,,2644-9676,Mir@bel,https://reseau-mirabel.info/revue/titre-id/10240
Open Journal of Mathematical Optimization,,2777-5860,Mir@bel,https://reseau-mirabel.info/revue/titre-id/12091
Revue Ouverte d'Intelligence Artificielle,,2967-9672,Mir@bel,https://reseau-mirabel.info/revue/titre-id/12087
Journal de l'École polytechnique - Mathématiques,2429-7100,2270-518X,Mir@bel,https://reseau-mirabel.info/revue/titre-id/6030
Cahiers de l'AREFLE,2728-5332,2119-615X,Mir@bel,https://reseau-mirabel.info/revue/titre-id/16859
Didactique du FLES,2966-957X,2826-777X,Mir@bel,https://reseau-mirabel.info/revue/titre-id/17694
Source(s),2265-1306,2261-8562,Mir@bel,https://reseau-mirabel.info/revue/titre-id/16864
