"Please go to the Journal URL, find out when the journal started publishing under an OA model, and add the date in column H.",,,,,,,,,
Journal title,Journal URL,eISSN,URL in DOAJ,pISSN,Publisher,Country,OA Start,Man. Ed,
Grifos,http://bell.unochapeco.edu.br/revistas/index.php/grifos/index,2175-0157,https://doaj.org/toc/c4cdde3f8072484c9847d27da8d05ca5,,Universidade Comunitária da Região de Chapecó,Brazil,2009,Alejandra,
Acta Ambiental Catarinense,http://bell.unochapeco.edu.br/revistas/index.php/acta/index,2175-1552,https://doaj.org/toc/65a9f9e416654797961db52d172e22c4,,Universidade Comunitária da Região de Chapecó,Brazil,2008,Alejandra,
Pólemos,https://periodicos.unb.br/index.php/polemos/index,2238-7692,https://doaj.org/toc/9acef36f4cd145c1884727d5600b802c,,Universidade de Brasília,Brazil,2012,Alejandra,
"Saúde, Ética & Justiça",https://www.revistas.usp.br/sej/index,2317-2770,https://doaj.org/toc/d5d934e51efe472db0ac056bc08b737d,1414-218X,Universidade de Sao Paulo,Brazil,2009,Alejandra,
Cadernos de Filosofia Alemã,https://www.revistas.usp.br/filosofiaalema,2318-9800,https://doaj.org/toc/4fbc7e8394194c4485ee86a4831abf7b,1413-7860,Universidade de São Paulo,Brazil,2012,Alejandra,
Matrizes,https://www.revistas.usp.br/matrizes/,1982-8160,https://doaj.org/toc/f3bf2ade5c774860b5d5e644e67b567a,1982-2073,Universidade de São Paulo,Brazil,2016,Alejandra,
Revista da Tulha,https://www.revistas.usp.br/revistadatulha/index,2447-7117,https://doaj.org/toc/2d25291a906247918152805fa04356bd,,Universidade de São Paulo,Brazil,2015,Alejandra,
Revista de Filosofia Antiga,https://www.revistas.usp.br/filosofiaantiga,1981-9471,https://doaj.org/toc/df24a24ba224464b99d50732fb052d89,,Universidade de São Paulo (USP),Brazil,2010,Alejandra,
Móin-Móin,https://www.revistas.udesc.br/index.php/moin/index,2595-0347,https://doaj.org/toc/51305857136c418cac7a8d62bd50a82a,1809-1385,Universidade do Estado de Santa Catarina,Brazil,2005,Alejandra,
Mural Internacional,https://www.e-publicacoes.uerj.br/index.php/muralinternacional/index,2177-7314,https://doaj.org/toc/b9f6e10cd7d142049926f28ea5925475,2446-6182,Universidade do Estado do Rio de Janeiro,Brazil,2010,Alejandra,
Ciencias Sociales y Religión,https://econtents.bc.unicamp.br/inpec/index.php/csr/index,1982-2650,https://doaj.org/toc/c489a824950b42139af4518cad74e95c,1518-4463,Universidade Estadual de Campinas,Brazil,2006,Alejandra,
Brazilian Journal of Oral Sciences,https://periodicos.sbu.unicamp.br/ojs/index.php/bjos,1677-3225,https://doaj.org/toc/5504fb75132e4bfe947dd7c24ee5c9e1,,Universidade Estadual de Campinas,Brazil,2012,Alejandra,
Imagens da Educação,https://periodicos.uem.br/ojs/index.php/ImagensEduc,2179-8427,https://doaj.org/toc/407fbd01ca824e6d961905fd4952c108,,Universidade Estadual de Maringá,Brazil,2011,Alejandra,
Olhar de Professor,https://revistas2.uepg.br/index.php/olhardeprofessor/index,1984-0187,https://doaj.org/toc/062ac509e5944d16892f448dfe5074ea,1518-5648,Universidade Estadual de Ponta Grossa,Brazil,2002,Alejandra,
"Revista de Instrumentos, Modelos e Políticas em Avaliação Educacional",https://revistas.uece.br/index.php/impa,2675-7427,https://doaj.org/toc/d574e9315c4642d4b8ee9f841feedb7e,,Universidade Estadual do Ceará,Brazil,2020,Alejandra,
Ensino em Perspectivas,https://revistas.uece.br/index.php/ensinoemperspectivas/index,2675-9144,https://doaj.org/toc/a5ce0074bddd458a8d470cd313af2164,,Universidade Estadual do Ceará,Brazil,2019,Alejandra,
Onomástica desde América Latina,http://e-revista.unioeste.br/index.php/onomastica/index,2675-2719,https://doaj.org/toc/ea44c9ec3f08472f85571634cf04032c,,Universidade Estadual do Oeste do Paraná,Brazil,2020,Alejandra,
Revista de Estudos em Educação e Diversidade,http://periodicos2.uesb.br/index.php/reed,2675-6889,https://doaj.org/toc/681a6080a42241f5809d68c6fb70aa0d,,Universidade Estadual do Sudoeste da Bahia (UESB),Brazil,2020,Alejandra,
