code,term,journals,applications
RZ409.7-999,Miscellaneous systems and treatments,21,55
S,Agriculture,712,888
S1-972,Agriculture (General),502,789
SB1-1110,Plant culture,221,390
SD1-669.5,Forestry,154,231
SF1-1100,Animal culture,219,289
SF191-275,Cattle,4,15
SF221-250,Dairying,4,9
SF250.5-275,Dairy processing. Dairy products,8,17
SF600-1100,Veterinary medicine,225,438
SH1-691,Aquaculture. Fisheries. Angling,121,237
SK1-664,Hunting sports,0,1
T,Technology,1300,1454
T1-995,Technology (General),396,475
T11.95-12.5,Industrial directories,1,5
T351-385,Mechanical drawing. Engineering graphics,6,12
T55-55.3,Industrial safety. Industrial accident prevention,16,33
T55.4-60.8,Industrial engineering. Management engineering,154,175
T57-57.97,Applied mathematics. Quantitative methods,70,147
T58.5-58.64,Information technology,343,617
T58.6-58.62,Management information systems,44,109
T58.7-58.8,Production capacity. Manufacturing capacity,8,15
T59.5,Automation,9,30
TA1-2040,Engineering (General). Civil engineering (General),639,1103
TA1001-1280,Transportation engineering,74,170
TA1501-1820,Applied optics. Photonics,47,106
TA168,Systems engineering,15,43
TA170-171,Environmental engineering,73,128
TA174,Engineering design,18,36
TA177.4-185,Engineering economy,8,16
TA2001-2040,Plasma engineering. Applied plasma dynamics,2,3
TA213-215,"Engineering machinery, tools, and implements",12,34
TA349-359,Mechanics of engineering. Applied mechanics,43,77
TA365-367,Acoustics in engineering. Acoustical engineering,1,10
TA401-492,Materials of engineering and construction. Mechanics of materials,189,415
TA495,Disasters and engineering,17,42
TA501-625,Surveying,2,6
TA630-695,Structural engineering (General),13,19
TA703-712,Engineering geology. Rock mechanics. Soil mechanics. Underground construction,26,64
TA715-787,Earthwork. Foundations,3,6
TC1-978,Hydraulic engineering,37,69
TC1501-1800,Ocean engineering,15,39
TC160-181,Technical hydraulics,1,1
TC203-380,Harbors and coast protective works. Coastal engineering. Lighthouses,6,8
TC401-506,"River, lake, and water-supply engineering (General)",24,47
TC530-537,River protective works. Regulation. Flood control,3,6
TC601-791,Canals and inland navigation. Waterways,2,3
TC801-978,Irrigation engineering. Reclamation of wasteland. Drainage,8,11
TD1-1066,Environmental technology. Sanitary engineering,145,301
TD1020-1066,Hazardous substances and their disposal,5,9
TD169-171.8,Environmental protection,31,60
TD172-193.5,Environmental pollution,30,66
TD194-195,Environmental effects of industries and plants,11,27
TD201-500,Water supply for domestic and industrial purposes,29,82
TD511-780,Sewage collection and disposal systems. Sewerage,2,9
TD783-812.5,Municipal refuse. Solid wastes,2,7
TD878-894,Special types of environment,2,5
TD920-934,Rural and farm sanitary engineering,2,3
TE1-450,Highway engineering. Roads and pavements,8,12
TF1-1620,Railroad engineering and operation,8,18
TG1-470,Bridge engineering,5,13
TH1-9745,Building construction,74,127
TH1000-1725,"Systems of building construction. Including fireproof construction, concrete construction",4,11
TH2025-3000,"Details in building design and construction. Including walls, roofs",2,6
TH7005-7699,Heating and ventilation. Air conditioning,1,2
TH845-895,Architectural engineering. Structural engineering of buildings,22,52
TH9025-9745,"Protection of buildings. Including protection from dampness, fire, burglary",2,7
TJ1-1570,Mechanical engineering and machinery,175,303
TJ163.26-163.5,Energy conservation,15,40
TJ212-225,Control engineering systems. Automatic machinery (General),19,60
TJ227-240,Machine design and drawing,7,22
TJ807-830,Renewable energy sources,88,209
TK1-9971,Electrical engineering. Electronics. Nuclear engineering,295,407
