ID,OA Start Date,In doaj?
23b51c75d8bd4a2a8fd9c403e71af411,2008,True
23ee6f4e1d594fa99bf4d873dee9d54a,1999,True
24cf4d5817f647c9b3c8b6fdf5b5418c,2003,True
23260ed73cf84b8c8e407448e9017c5a,2005,True
233c62ae8e844eab8571810786d42671,2015,True
24ee32f1d59c4e8996c8ac077e551d9c,2008,True
250c2fe979084247a9fb511992ff98ac,2012,True
245d1eb282534aa385cec49cd9c0f28e,2012,True
24646ceec1e2483b9cb169773de42345,1996,True
23fec863ce5c46d0bd5302ec24b52b08,2016,True
2490570798994baaa6da02f72d70772b,2017,True
238fc686d9834c8e92b4d782a337656f,2013,True
36f73a89709d499a97d42cc86605becf,2000,True
37527d3021e94acbb9f84430950305a2,2011,True
3815193efa864f62ae1bd61d02fd99a6,2009,False
35e206bdb91f41b49c786512cdcd1003,2013,True
3641570ea9e24ac18cb091e070efd884,2013,False
386f9b5fc0484e8495f6fd14f639fad2,2001,True
38289815cd4c42e4b8e2bb6f351b91f0,2006,True
46a0205cde63468486531b2fd7e0eb84,2015,True
46d3e8f340a74c2d94ffee24c4f97597,2010,True
44e8a8c57eca477abeb688167e0ef841,2011,True
44ebb3e832c9442088260073359c6490,2007,True
44ff563d52564b27b018b14b68ca7520,2004,True
44956a1e1e3c4f7ab414f3853944ba5a,2009,True
449f0eeabb2d41299c8a65ee5d3f47e9,2015,True
44b0ffc485404347a2f5e1ea6f7f6ccf,2010,True
45dcbb92393040f8859c7556c3e9e0dd,2012,True
45ea8f14ff074caf86df7186a3cf021f,2009,True
461ac8eec374473995b4e76c7bd1e002,2014,False
464eac20fe4f43638f0585c7829068f0,2008,True
466d8a37ce324dbcba379edcb667f771,2015,True
63ac9d81d57148d7b4db0a87384f72d6,2007,True
63e39d75965b4aeea1ecb4cb32cc5c86,1997,True
